,Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),Cloud Cover_clear,Cloud Cover_cloudy,Cloud Cover_overcast,Cloud Cover_partly cloudy,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Location_coastal,Location_inland,Location_mountain,Weather Type,prediction
3744,0.5690469851812184,0.06807278249605551,0.24061502658237385,0.8253994455250291,0.03892919561640346,-1.0444634365085097,-1.3272970757690956,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1
9459,-1.560913335647299,1.1544689375749628,-1.0612580841397121,0.5128781782340894,-0.4556183369742519,-0.785146344144231,-0.2895499728990174,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
2875,-0.40958343249674906,0.11745442590873312,-0.8442792323526979,-1.2684930453242664,0.27284038813118894,-0.007195067051395136,0.1551987854738733,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0
3232,0.4539139948661634,-0.3763620082180429,-0.2656689609206596,-1.0184760314915147,-0.026692948890008023,-0.785146344144231,0.5999475438467641,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
499,-0.9276818889144965,0.26559935614676594,0.8192252980144121,1.2004249662741566,-0.6461342403799595,-0.785146344144231,-1.1790474896447989,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
9163,-1.445780345332244,0.31498099955944353,-0.12101639306265005,1.4191898533778142,-0.5320893037579321,-1.0444634365085097,-0.4377995590233143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
8353,5.0592336074683635,1.8951935887651268,0.7468990140854073,0.9191558257123109,0.2350018128714452,1.8080245794985552,0.4516979577224671,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,3
3763,-0.5247164228118041,0.9075607205115748,1.470161853375455,0.3878696713177136,-0.3148482527911431,-0.26651215941567374,-0.882548317396205,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1
9017,0.2812145093935809,-0.8207967989321413,-0.8442792323526979,-0.5184420038260112,-0.09152127713222978,-0.26651215941567374,0.006949199349576417,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0
1270,-1.2730808598596615,0.8087974336862196,1.3255092855174455,1.0754164593577809,-0.16243553006657582,-1.0444634365085097,-0.2895499728990174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
